train/reward,train/entropy_loss,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/policy_loss,time/time_elapsed,train/learning_rate,train/n_updates,train/value_loss,train/std
0.78449214,-38.36111068725586,56000,511,5600,0.08172804117202759,24.79364013671875,109,0.0001,5599,1.0251983404159546,1.0018727779388428
0.07247981,-38.360443115234375,57000,511,5700,-0.0033611059188842773,58.866615295410156,111,0.0001,5699,3.51348614692688,1.0018579959869385
0.7758099,-38.36482620239258,58000,511,5800,9.244680404663086e-05,16.46978759765625,113,0.0001,5799,1.4560726881027222,1.0019899606704712
0.06987372,-38.36747360229492,59000,511,5900,0.146262526512146,-57.016571044921875,115,0.0001,5899,2.7498879432678223,1.0020725727081299
-0.03002598,-38.363948822021484,60000,511,6000,0.2544710040092468,-118.0082015991211,117,0.0001,5999,11.47628402709961,1.0019750595092773
0.15372854,-38.363807678222656,61000,497,6100,0.15369361639022827,-94.75923919677734,122,0.0001,6099,7.694185733795166,1.001973271369934
0.08105711,-38.3674430847168,62000,497,6200,-0.4453359842300415,-54.762001037597656,124,0.0001,6199,3.505765676498413,1.0021096467971802
-1.1110291,-38.37190628051758,63000,498,6300,-0.3408724069595337,-48.895931243896484,126,0.0001,6299,3.4278106689453125,1.0022661685943604
-0.3324024,-38.37335205078125,64000,498,6400,-0.1884247064590454,-24.183420181274414,128,0.0001,6399,3.974177598953247,1.0023064613342285
-1.4595841,-38.379547119140625,65000,498,6500,-0.039934515953063965,161.79539489746094,130,0.0001,6499,21.93804359436035,1.0025532245635986
-0.12635754,-38.374629974365234,66000,498,6600,0.1951327919960022,91.09193420410156,132,0.0001,6599,6.356400489807129,1.0023908615112305
-0.082331456,-38.36616134643555,67000,499,6700,-0.4114081859588623,-10.233790397644043,134,0.0001,6699,1.7205685377120972,1.002057671546936
1.3694197,-38.36418151855469,68000,499,6800,0.0012621283531188965,87.09574127197266,136,0.0001,6799,9.118513107299805,1.0019638538360596
-0.028362773,-38.36639404296875,69000,499,6900,0.06743907928466797,100.10723876953125,138,0.0001,6899,9.093844413757324,1.002074956893921
-1.5809494,-38.361083984375,70000,499,7000,-0.19457268714904785,-3.8783257007598877,140,0.0001,6999,0.4780210554599762,1.0018571615219116
-0.12000897,-38.35905456542969,71000,499,7100,0.0016767382621765137,-134.6818389892578,142,0.0001,7099,16.090482711791992,1.0017839670181274
4.339578,-38.35789489746094,72000,500,7200,-0.003100752830505371,-102.8688735961914,143,0.0001,7199,14.835711479187012,1.0017560720443726
-0.109283656,-38.35935974121094,73000,500,7300,0.27608615159988403,-147.0541229248047,145,0.0001,7299,15.87842082977295,1.0018013715744019
0.7004706,-38.35899353027344,74000,500,7400,0.19431930780410767,-133.5233154296875,147,0.0001,7399,26.249073028564453,1.0018366575241089
-0.74858713,-38.362579345703125,75000,500,7500,-0.2453765869140625,-122.05411529541016,149,0.0001,7499,11.994921684265137,1.0019272565841675
-0.035473034,-38.3605842590332,76000,500,7600,0.2946051359176636,-1.3241304159164429,151,0.0001,7599,0.7347138524055481,1.001854419708252
-0.028193226,-38.35500717163086,77000,501,7700,0.28642702102661133,88.50196075439453,153,0.0001,7699,7.956150054931641,1.001652717590332
-3.5059044,-38.35146713256836,78000,501,7800,0.4697120189666748,90.98894500732422,155,0.0001,7799,7.1730241775512695,1.0015193223953247
-0.1714931,-38.34992218017578,79000,501,7900,-0.016193270683288574,73.6031494140625,157,0.0001,7899,6.296960830688477,1.0014467239379883
0.35657382,-38.348121643066406,80000,501,8000,0.1399824619293213,-54.36151885986328,159,0.0001,7999,4.536899566650391,1.0014058351516724
-0.9008065,-38.347755432128906,81000,501,8100,0.2748602628707886,63.729366302490234,161,0.0001,8099,6.517421245574951,1.0013701915740967
0.5755805,-38.35527038574219,82000,501,8200,0.2266131043434143,163.14199829101562,163,0.0001,8199,19.70789909362793,1.0016639232635498
-2.5892963,-38.351436614990234,83000,502,8300,-0.25188589096069336,0.024013137444853783,165,0.0001,8299,2.4977822303771973,1.001504898071289
-1.1244718,-38.350196838378906,84000,502,8400,0.7805592119693756,0.6153785586357117,167,0.0001,8399,0.44758206605911255,1.0014787912368774
2.5624728,-38.35718536376953,85000,502,8500,0.038564085960388184,-76.05290985107422,169,0.0001,8499,5.047008514404297,1.0017273426055908
1.836138,-38.35885238647461,86000,502,8600,0.23613017797470093,-65.85446166992188,171,0.0001,8599,5.797904968261719,1.0017684698104858
0.8634058,-38.362548828125,87000,502,8700,0.08642905950546265,-147.57054138183594,173,0.0001,8699,20.331586837768555,1.0019253492355347
-0.6721839,-38.362159729003906,88000,503,8800,0.10715419054031372,-193.70164489746094,174,0.0001,8799,34.280174255371094,1.001940369606018
-1.8385803,-38.3661994934082,89000,503,8900,-0.06954348087310791,-148.1593780517578,176,0.0001,8899,16.609495162963867,1.0020546913146973
-2.0423577,-38.36354446411133,90000,503,9000,0.35832929611206055,58.5527229309082,178,0.0001,8999,4.728250980377197,1.0019606351852417
0.42409784,-38.36846923828125,91000,503,9100,0.3540821671485901,-144.90098571777344,180,0.0001,9099,18.93848991394043,1.0021543502807617
-4.6869936,-38.36940002441406,92000,503,9200,-0.06925630569458008,-128.6383056640625,182,0.0001,9199,14.772315979003906,1.0021955966949463
1.7832767,-38.36610794067383,93000,502,9300,-0.1506786346435547,-68.34825897216797,184,0.0001,9299,5.262467861175537,1.0020642280578613
-0.78402203,-38.37671661376953,94000,503,9400,-0.003849029541015625,73.95068359375,186,0.0001,9399,4.825751304626465,1.0024627447128296
1.6642678,-38.37537384033203,95000,503,9500,0.2811439037322998,-28.500513076782227,188,0.0001,9499,1.5817813873291016,1.0024186372756958
-0.66975015,-38.37468338012695,96000,503,9600,0.12929123640060425,53.84869384765625,190,0.0001,9599,5.2572550773620605,1.002385139465332
1.0196823,-38.38104248046875,97000,503,9700,0.2922995090484619,120.35942840576172,192,0.0001,9699,12.692212104797363,1.0026090145111084
-0.96498054,-38.383052825927734,98000,503,9800,0.19825488328933716,-42.156890869140625,194,0.0001,9799,5.239177703857422,1.0026875734329224
1.0772234,-38.387935638427734,99000,503,9900,3.153085708618164e-05,128.4720916748047,196,0.0001,9899,13.73748779296875,1.0028810501098633
2.0994275,-38.375221252441406,100000,503,10000,0.5622720718383789,87.33674621582031,198,0.0001,9999,5.790099620819092,1.0024058818817139
